rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
856,Tasogare Otome x Amnesia,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx12445-HAnPmLmAT4Om.jpg,https://anilist.co/anime/12445/Tasogare-Otome-x-Amnesia/,"['Horror', 'Mystery', 'Romance', 'Supernatural']",75,37231,TV Show,12,Spring 2012,Finished,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
857,Beelzebub,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx9513-is6YiSgKbyQX.jpg,https://anilist.co/anime/9513/Beelzebub/,"['Action', 'Comedy', 'Supernatural']",75,41028,TV Show,60,Winter 2011,Finished,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
858,Baka to Test to Shoukanjuu Ni!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx8516-uAw5qWkceccn.jpg,https://anilist.co/anime/8516/Baka-to-Test-to-Shoukanjuu-Ni/,"['Comedy', 'Romance', 'Slice of Life']",75,33210,TV Show,13,Summer 2011,Finished,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
859,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx2321-ETrAaZnKGpUS.jpg,https://anilist.co/anime/2321/Giant-Robo-the-Animation-Chikyuu-ga-Seishi-Suru-Hi/,"['Action', 'Mecha', 'Sci-Fi']",75,4330,OVA,7,1992 - 1998,Finished,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
860,Koukaku Kidoutai: INNOCENCE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx468-rfiX1uY8bsPp.jpg,https://anilist.co/anime/468/Koukaku-Kidoutai-INNOCENCE/,"['Action', 'Psychological', 'Sci-Fi']",75,15542,Movie,1,Spring 2004,Finished,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
861,Last Exile,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx97-Loi1Ppy4quXy.jpg,https://anilist.co/anime/97/Last-Exile/,"['Action', 'Adventure', 'Sci-Fi']",75,15506,TV Show,26,Spring 2003,Finished,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862,Nakitai Watashi wa Neko wo Kaburu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114963-QWMbi5ttovSK.png,https://anilist.co/anime/114963/Nakitai-Watashi-wa-Neko-wo-Kaburu/,"['Drama', 'Fantasy', 'Romance']",75,32949,Movie,1,Spring 2020,Finished,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
863,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108039-qIfwCf0SwKdG.jpg,https://anilist.co/anime/108039/Kidou-Senshi-Gundam-The-Origin--Zenya-Akai-Suisei/,"['Action', 'Mecha', 'Sci-Fi']",75,2234,TV Show,13,Spring 2019,Finished,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
864,Wu Shan Wu Xing: Zhuo Yuan Shen Huo,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx107069-mABDNDDtWWiW.png,https://anilist.co/anime/107069/Wu-Shan-Wu-Xing-Zhuo-Yuan-Shen-Huo/,"['Action', 'Drama', 'Fantasy']",75,2628,ONA,3,2020,Finished,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,Gochuumon wa Usagi Desu ka? BLOOM,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104198-bT8qBPJWxtiY.jpg,https://anilist.co/anime/104198/Gochuumon-wa-Usagi-Desu-ka-BLOOM/,"['Comedy', 'Slice of Life']",75,7327,TV Show,12,Airing,Ep 7 airing in 3 days,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
